epoches,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
5layer f-o softsign 间隔10次epoch 0-300共31个,116.1713702,24.93934284,17.60600531,16.15610033,15.50044566,15.1342354,14.88929769,14.72691961,14.63965632,14.61579821,14.54514714,14.49306331,14.46071115,14.44138722,14.42698995,14.42013519,14.42131981,14.41971356,14.43161815,14.45358828,14.47445387,14.48950943,14.50300331,14.51571568,14.52759557,14.53933943,14.55160313,14.56502917,14.58035204,14.59966882,14.62426959
,118.5669787,22.47533612,17.49995904,16.00295031,15.3842401,15.06449121,14.87163702,14.74715503,14.65611426,14.58810946,14.5360702,14.49600789,14.46585865,14.4425215,14.42547975,14.41271618,14.40266589,14.395508,14.39084236,14.3889078,14.38972748,14.39191467,14.39481649,14.39876144,14.40409341,14.41145105,14.42095501,14.42988435,14.43144013,14.42379316,14.41577874
,113.7367367,19.45120001,15.67691854,15.09159859,14.83368227,14.69792733,14.60033757,14.52701664,14.47876276,14.47430648,14.45647071,14.43418772,14.42020751,14.4093161,14.39986327,14.39217855,14.38637466,14.3825185,14.38058004,14.38090595,14.38131437,14.38438745,14.38933433,14.39468113,14.40014667,14.40575301,14.4112653,14.41701668,14.42314605,14.42951728,14.4359994
,111.0985638,23.11204149,17.12154936,15.92619015,15.42888383,15.11848003,14.9067675,14.7627162,14.66941394,14.60907623,14.56870864,14.54208379,14.52653418,14.51737786,14.51239634,14.51242826,14.5189702,14.53398908,14.56165229,14.59918292,14.59666116,14.49369358,14.42332769,14.39716519,14.38213012,14.37326405,14.36795481,14.36475629,14.36295861,14.36207986,14.36189655
,113.0163967,20.65785558,16.56600052,15.54801515,15.08509511,14.84407923,14.70093267,14.60562696,14.54414839,14.51013448,14.49381468,14.4834976,14.47893199,14.47811564,14.48204236,14.48713244,14.49151639,14.49433215,14.49610842,14.4982954,14.50164363,14.50646975,14.50963311,14.51554359,14.52312751,14.53197692,14.54231892,14.55545215,14.57132676,14.58684209,14.59526719
average,114.5180092,22.12715521,16.89408656,15.74497091,15.24646939,14.97184264,14.79379449,14.67388689,14.59761913,14.55948497,14.52004227,14.48976806,14.4704487,14.45774366,14.44935433,14.44491813,14.44416939,14.44521226,14.45216025,14.46417607,14.4687601,14.45319498,14.44402299,14.44437341,14.44741865,14.45235689,14.45881943,14.46642773,14.47384472,14.48038024,14.4866423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1layer basiclstm,63.37563106,24.65414872,19.06219801,17.48355993,16.75561294,16.31656096,16.01786787,15.79239652,15.61407414,15.46765032,15.34421946,15.23896843,15.1491434,15.07285977,15.00850092,14.95446345,14.90913644,14.87098515,14.83866593,14.81111878,14.78758974,14.7675954,14.75082676,14.73706061,14.72606975,14.71756783,14.71120582,14.70659986,14.70339279,14.70126735,14.69993869
,80.58688118,21.65430262,19.30969979,18.24489127,17.59398027,17.15015129,16.82597274,16.57573486,16.37368691,16.2062919,16.06579158,15.9470527,15.84630326,15.7601955,15.68585346,15.62117964,15.5687699,15.52932364,15.49417625,15.46351449,15.43535132,15.40806191,15.3832873,15.36435699,15.35051057,15.33969411,15.330407,15.32174087,15.31316845,15.30439115,15.29525205
,111.3371591,18.22870766,17.0416032,16.53874611,16.28994591,16.0450199,15.83271474,15.66214848,15.52451216,15.41131847,15.31579545,15.23322042,15.16425119,15.11356901,15.07549234,15.04560263,15.02275859,15.00494028,14.98936228,14.97517618,14.96263895,14.95196527,14.94323135,14.93643245,14.93150474,14.92826872,14.92628027,14.92452566,14.92083155,14.91115797,14.8906922
,56.02425124,19.1103842,17.18188064,16.32452387,15.80967471,15.4861437,15.28059112,15.15760619,15.08677703,15.04392081,15.0038973,14.96513144,14.92885314,14.90139806,14.89304543,14.90156812,14.91856559,14.94188411,14.97029913,15.00332004,15.04289888,15.09515455,15.14544233,15.19305649,15.23819282,15.28022224,15.31865303,15.35321768,15.38373868,15.40996573,15.43145769
